region,regionGSSCode,period,Sales volume,reportingPeriod,avgPrice,date
West Midlands Region,E12000005,2005-03,6491,monthly,141930,01/03/2005
London,E12000007,2005-04,10290,monthly,235367,01/04/2005
North East,E12000001,2005-04,4117,monthly,115579,01/04/2005
South East,E12000008,2005-04,13136,monthly,197998,01/04/2005
South West,E12000009,2005-04,8445,monthly,177112,01/04/2005
West Midlands Region,E12000005,2005-04,7712,monthly,143202,01/04/2005
London,E12000007,2005-05,10649,monthly,235685,01/05/2005
North East,E12000001,2005-05,4157,monthly,117007,01/05/2005
South East,E12000008,2005-05,13834,monthly,198849,01/05/2005
South West,E12000009,2005-05,8434,monthly,177973,01/05/2005
West Midlands Region,E12000005,2005-05,7633,monthly,144167,01/05/2005
London,E12000007,2005-06,12308,monthly,235899,01/06/2005
North East,E12000001,2005-06,4474,monthly,118615,01/06/2005
South East,E12000008,2005-06,16154,monthly,199220,01/06/2005
South West,E12000009,2005-06,9725,monthly,178555,01/06/2005
West Midlands Region,E12000005,2005-06,8951,monthly,146219,01/06/2005
London,E12000007,2005-07,13536,monthly,237872,01/07/2005
North East,E12000001,2005-07,4806,monthly,121318,01/07/2005
South East,E12000008,2005-07,16990,monthly,200336,01/07/2005
South West,E12000009,2005-07,10590,monthly,180979,01/07/2005
West Midlands Region,E12000005,2005-07,9091,monthly,147649,01/07/2005
London,E12000007,2005-08,13208,monthly,237971,01/08/2005
North East,E12000001,2005-08,4378,monthly,123066,01/08/2005
South East,E12000008,2005-08,16820,monthly,200950,01/08/2005
South West,E12000009,2005-08,10557,monthly,180356,01/08/2005
West Midlands Region,E12000005,2005-08,8833,monthly,148529,01/08/2005
London,E12000007,2005-09,13541,monthly,236916,01/09/2005
North East,E12000001,2005-09,4623,monthly,121255,01/09/2005
South East,E12000008,2005-09,16735,monthly,201181,01/09/2005
South West,E12000009,2005-09,10149,monthly,180846,01/09/2005
West Midlands Region,E12000005,2005-09,8943,monthly,147680,01/09/2005
London,E12000007,2005-10,12382,monthly,234298,01/10/2005
North East,E12000001,2005-10,4311,monthly,121647,01/10/2005
South East,E12000008,2005-10,15508,monthly,199322,01/10/2005
South West,E12000009,2005-10,9555,monthly,180883,01/10/2005
West Midlands Region,E12000005,2005-10,8230,monthly,147573,01/10/2005
London,E12000007,2005-11,12568,monthly,236561,01/11/2005
North East,E12000001,2005-11,4400,monthly,123245,01/11/2005
South East,E12000008,2005-11,16303,monthly,200577,01/11/2005
South West,E12000009,2005-11,10095,monthly,180778,01/11/2005
West Midlands Region,E12000005,2005-11,8712,monthly,148518,01/11/2005
London,E12000007,2005-12,13144,monthly,238377,01/12/2005
North East,E12000001,2005-12,5168,monthly,123089,01/12/2005
South East,E12000008,2005-12,18119,monthly,200784,01/12/2005
South West,E12000009,2005-12,11133,monthly,181798,01/12/2005
West Midlands Region,E12000005,2005-12,9778,monthly,148914,01/12/2005
London,E12000007,2006-01,10862,monthly,239846,01/01/2006
North East,E12000001,2006-01,3300,monthly,123039,01/01/2006
South East,E12000008,2006-01,13048,monthly,201252,01/01/2006
South West,E12000009,2006-01,7861,monthly,181152,01/01/2006
West Midlands Region,E12000005,2006-01,6843,monthly,147576,01/01/2006
London,E12000007,2006-02,10885,monthly,239115,01/02/2006
North East,E12000001,2006-02,3597,monthly,121124,01/02/2006
South East,E12000008,2006-02,13361,monthly,201878,01/02/2006
South West,E12000009,2006-02,7992,monthly,180356,01/02/2006
West Midlands Region,E12000005,2006-02,7057,monthly,148738,01/02/2006
London,E12000007,2006-03,13982,monthly,241380,01/03/2006
North East,E12000001,2006-03,5123,monthly,123786,01/03/2006
South East,E12000008,2006-03,17079,monthly,202726,01/03/2006
South West,E12000009,2006-03,10625,monthly,183672,01/03/2006
West Midlands Region,E12000005,2006-03,9468,monthly,148994,01/03/2006
London,E12000007,2006-04,11953,monthly,245474,01/04/2006
North East,E12000001,2006-04,4571,monthly,126215,01/04/2006
South East,E12000008,2006-04,15992,monthly,205285,01/04/2006
South West,E12000009,2006-04,10445,monthly,185201,01/04/2006
West Midlands Region,E12000005,2006-04,8468,monthly,150422,01/04/2006
London,E12000007,2006-05,13349,monthly,247591,01/05/2006
North East,E12000001,2006-05,4795,monthly,126767,01/05/2006
South East,E12000008,2006-05,17990,monthly,208458,01/05/2006
South West,E12000009,2006-05,11193,monthly,187087,01/05/2006
West Midlands Region,E12000005,2006-05,9476,monthly,154180,01/05/2006
London,E12000007,2006-06,16075,monthly,251417,01/06/2006
North East,E12000001,2006-06,5746,monthly,129083,01/06/2006
South East,E12000008,2006-06,21344,monthly,209556,01/06/2006
South West,E12000009,2006-06,13200,monthly,189380,01/06/2006
West Midlands Region,E12000005,2006-06,11271,monthly,153497,01/06/2006
London,E12000007,2006-07,16182,monthly,253883,01/07/2006
North East,E12000001,2006-07,5313,monthly,130283,01/07/2006
South East,E12000008,2006-07,20373,monthly,211719,01/07/2006
South West,E12000009,2006-07,12863,monthly,191277,01/07/2006
West Midlands Region,E12000005,2006-07,9937,monthly,153551,01/07/2006
London,E12000007,2006-08,16833,monthly,256704,01/08/2006
North East,E12000001,2006-08,5071,monthly,129962,01/08/2006
South East,E12000008,2006-08,22478,monthly,213017,01/08/2006
South West,E12000009,2006-08,13841,monthly,193535,01/08/2006
West Midlands Region,E12000005,2006-08,10642,monthly,155921,01/08/2006
London,E12000007,2006-09,15674,monthly,257541,01/09/2006
North East,E12000001,2006-09,5510,monthly,131628,01/09/2006
South East,E12000008,2006-09,20639,monthly,214854,01/09/2006
South West,E12000009,2006-09,12492,monthly,193878,01/09/2006
West Midlands Region,E12000005,2006-09,10435,monthly,156665,01/09/2006
London,E12000007,2006-10,15193,monthly,259115,01/10/2006
North East,E12000001,2006-10,5216,monthly,131788,01/10/2006
South East,E12000008,2006-10,19698,monthly,214634,01/10/2006
South West,E12000009,2006-10,12448,monthly,195904,01/10/2006
West Midlands Region,E12000005,2006-10,10289,monthly,156493,01/10/2006
London,E12000007,2006-11,15230,monthly,258814,01/11/2006
North East,E12000001,2006-11,5343,monthly,130774,01/11/2006
South East,E12000008,2006-11,19570,monthly,216507,01/11/2006
South West,E12000009,2006-11,12760,monthly,197357,01/11/2006
West Midlands Region,E12000005,2006-11,10511,monthly,157410,01/11/2006
London,E12000007,2006-12,15232,monthly,264494,01/12/2006
North East,E12000001,2006-12,6047,monthly,134036,01/12/2006
South East,E12000008,2006-12,20999,monthly,219389,01/12/2006
South West,E12000009,2006-12,13258,monthly,198583,01/12/2006
West Midlands Region,E12000005,2006-12,11472,monthly,158291,01/12/2006
London,E12000007,2007-01,12794,monthly,267658,01/01/2007
North East,E12000001,2007-01,3904,monthly,132508,01/01/2007
South East,E12000008,2007-01,15462,monthly,220546,01/01/2007
South West,E12000009,2007-01,9198,monthly,197597,01/01/2007
West Midlands Region,E12000005,2007-01,7705,monthly,157384,01/01/2007
London,E12000007,2007-02,12194,monthly,270780,01/02/2007
North East,E12000001,2007-02,4014,monthly,131175,01/02/2007
South East,E12000008,2007-02,14947,monthly,219879,01/02/2007
South West,E12000009,2007-02,8926,monthly,198960,01/02/2007
West Midlands Region,E12000005,2007-02,7614,monthly,157787,01/02/2007
London,E12000007,2007-03,14546,monthly,273479,01/03/2007
North East,E12000001,2007-03,5267,monthly,132120,01/03/2007
South East,E12000008,2007-03,17562,monthly,221581,01/03/2007
South West,E12000009,2007-03,10691,monthly,201839,01/03/2007
West Midlands Region,E12000005,2007-03,9816,monthly,158644,01/03/2007
London,E12000007,2007-04,12568,monthly,278805,01/04/2007
North East,E12000001,2007-04,4734,monthly,135047,01/04/2007
South East,E12000008,2007-04,15898,monthly,225548,01/04/2007
South West,E12000009,2007-04,10207,monthly,202684,01/04/2007
West Midlands Region,E12000005,2007-04,8414,monthly,161809,01/04/2007
London,E12000007,2007-05,14059,monthly,282726,01/05/2007
North East,E12000001,2007-05,5560,monthly,135645,01/05/2007
South East,E12000008,2007-05,18656,monthly,230061,01/05/2007
South West,E12000009,2007-05,11573,monthly,205886,01/05/2007
West Midlands Region,E12000005,2007-05,9436,monthly,162202,01/05/2007
London,E12000007,2007-06,15799,monthly,285958,01/06/2007
North East,E12000001,2007-06,6406,monthly,137655,01/06/2007
South East,E12000008,2007-06,21237,monthly,231684,01/06/2007
