region,Region GSS code,Period,Sales volume,Reporting period,percentage Change ,date
West Midlands Region,E12000005,2004-12,7816,monthly,15.64,01/12/2004
London,E12000007,2005-01,8020,monthly,6.2,01/01/2005
North East,E12000001,2005-01,2559,monthly,22.51,01/01/2005
South East,E12000008,2005-01,9243,monthly,7.4,01/01/2005
South West,E12000009,2005-01,5481,monthly,10.94,01/01/2005
West Midlands Region,E12000005,2005-01,4909,monthly,13.98,01/01/2005
London,E12000007,2005-02,7829,monthly,5.24,01/02/2005
North East,E12000001,2005-02,2752,monthly,24.78,01/02/2005
South East,E12000008,2005-02,9441,monthly,7.31,01/02/2005
South West,E12000009,2005-02,5814,monthly,11.29,01/02/2005
West Midlands Region,E12000005,2005-02,5427,monthly,14.13,01/02/2005
London,E12000007,2005-03,9361,monthly,4.49,01/03/2005
North East,E12000001,2005-03,3359,monthly,21.04,01/03/2005
South East,E12000008,2005-03,11332,monthly,6.47,01/03/2005
South West,E12000009,2005-03,6952,monthly,9.2,01/03/2005
West Midlands Region,E12000005,2005-03,6491,monthly,12.68,01/03/2005
London,E12000007,2005-04,10290,monthly,4.21,01/04/2005
North East,E12000001,2005-04,4117,monthly,16.15,01/04/2005
South East,E12000008,2005-04,13136,monthly,6.1,01/04/2005
South West,E12000009,2005-04,8445,monthly,7.14,01/04/2005
West Midlands Region,E12000005,2005-04,7712,monthly,10.6,01/04/2005
London,E12000007,2005-05,10649,monthly,3.68,01/05/2005
North East,E12000001,2005-05,4157,monthly,14.53,01/05/2005
South East,E12000008,2005-05,13834,monthly,4.72,01/05/2005
South West,E12000009,2005-05,8434,monthly,5.7,01/05/2005
West Midlands Region,E12000005,2005-05,7633,monthly,9.25,01/05/2005
London,E12000007,2005-06,12308,monthly,2.5,01/06/2005
North East,E12000001,2005-06,4474,monthly,11.44,01/06/2005
South East,E12000008,2005-06,16154,monthly,3.63,01/06/2005
South West,E12000009,2005-06,9725,monthly,3.61,01/06/2005
West Midlands Region,E12000005,2005-06,8951,monthly,7.37,01/06/2005
London,E12000007,2005-07,13536,monthly,1.71,01/07/2005
North East,E12000001,2005-07,4806,monthly,10.2,01/07/2005
South East,E12000008,2005-07,16990,monthly,2.88,01/07/2005
South West,E12000009,2005-07,10590,monthly,3.15,01/07/2005
West Midlands Region,E12000005,2005-07,9091,monthly,6.33,01/07/2005
London,E12000007,2005-08,13208,monthly,1.34,01/08/2005
North East,E12000001,2005-08,4378,monthly,10.18,01/08/2005
South East,E12000008,2005-08,16820,monthly,1.36,01/08/2005
South West,E12000009,2005-08,10557,monthly,2.27,01/08/2005
West Midlands Region,E12000005,2005-08,8833,monthly,5.35,01/08/2005
London,E12000007,2005-09,13541,monthly,1.19,01/09/2005
North East,E12000001,2005-09,4623,monthly,9.74,01/09/2005
South East,E12000008,2005-09,16735,monthly,1.74,01/09/2005
South West,E12000009,2005-09,10149,monthly,1.3,01/09/2005
West Midlands Region,E12000005,2005-09,8943,monthly,4.66,01/09/2005
London,E12000007,2005-10,12382,monthly,0.87,01/10/2005
North East,E12000001,2005-10,4311,monthly,8.41,01/10/2005
South East,E12000008,2005-10,15508,monthly,0.89,01/10/2005
South West,E12000009,2005-10,9555,monthly,1.57,01/10/2005
West Midlands Region,E12000005,2005-10,8230,monthly,3.76,01/10/2005
London,E12000007,2005-11,12568,monthly,0.79,01/11/2005
North East,E12000001,2005-11,4400,monthly,12.48,01/11/2005
South East,E12000008,2005-11,16303,monthly,0.54,01/11/2005
South West,E12000009,2005-11,10095,monthly,0.89,01/11/2005
West Midlands Region,E12000005,2005-11,8712,monthly,4.26,01/11/2005
London,E12000007,2005-12,13144,monthly,3.56,01/12/2005
North East,E12000001,2005-12,5168,monthly,8.44,01/12/2005
South East,E12000008,2005-12,18119,monthly,1.51,01/12/2005
South West,E12000009,2005-12,11133,monthly,2.39,01/12/2005
West Midlands Region,E12000005,2005-12,9778,monthly,4.36,01/12/2005
London,E12000007,2006-01,10862,monthly,3.19,01/01/2006
North East,E12000001,2006-01,3300,monthly,10.37,01/01/2006
South East,E12000008,2006-01,13048,monthly,2.88,01/01/2006
South West,E12000009,2006-01,7861,monthly,3.02,01/01/2006
West Midlands Region,E12000005,2006-01,6843,monthly,5.39,01/01/2006
London,E12000007,2006-02,10885,monthly,3.37,01/02/2006
North East,E12000001,2006-02,3597,monthly,9.66,01/02/2006
South East,E12000008,2006-02,13361,monthly,2.75,01/02/2006
South West,E12000009,2006-02,7992,monthly,2.46,01/02/2006
West Midlands Region,E12000005,2006-02,7057,monthly,5.08,01/02/2006
London,E12000007,2006-03,13982,monthly,4.37,01/03/2006
North East,E12000001,2006-03,5123,monthly,9.94,01/03/2006
South East,E12000008,2006-03,17079,monthly,3.17,01/03/2006
South West,E12000009,2006-03,10625,monthly,4.14,01/03/2006
West Midlands Region,E12000005,2006-03,9468,monthly,4.98,01/03/2006
London,E12000007,2006-04,11953,monthly,4.29,01/04/2006
North East,E12000001,2006-04,4571,monthly,9.2,01/04/2006
South East,E12000008,2006-04,15992,monthly,3.68,01/04/2006
South West,E12000009,2006-04,10445,monthly,4.57,01/04/2006
West Midlands Region,E12000005,2006-04,8468,monthly,5.04,01/04/2006
London,E12000007,2006-05,13349,monthly,5.05,01/05/2006
North East,E12000001,2006-05,4795,monthly,8.34,01/05/2006
South East,E12000008,2006-05,17990,monthly,4.83,01/05/2006
South West,E12000009,2006-05,11193,monthly,5.12,01/05/2006
West Midlands Region,E12000005,2006-05,9476,monthly,6.95,01/05/2006
London,E12000007,2006-06,16075,monthly,6.58,01/06/2006
North East,E12000001,2006-06,5746,monthly,8.83,01/06/2006
South East,E12000008,2006-06,21344,monthly,5.19,01/06/2006
South West,E12000009,2006-06,13200,monthly,6.06,01/06/2006
West Midlands Region,E12000005,2006-06,11271,monthly,4.98,01/06/2006
London,E12000007,2006-07,16182,monthly,6.73,01/07/2006
North East,E12000001,2006-07,5313,monthly,7.39,01/07/2006
South East,E12000008,2006-07,20373,monthly,5.68,01/07/2006
South West,E12000009,2006-07,12863,monthly,5.69,01/07/2006
West Midlands Region,E12000005,2006-07,9937,monthly,4,01/07/2006
London,E12000007,2006-08,16833,monthly,7.87,01/08/2006
North East,E12000001,2006-08,5071,monthly,5.6,01/08/2006
South East,E12000008,2006-08,22478,monthly,6,01/08/2006
South West,E12000009,2006-08,13841,monthly,7.31,01/08/2006
West Midlands Region,E12000005,2006-08,10642,monthly,4.98,01/08/2006
London,E12000007,2006-09,15674,monthly,8.71,01/09/2006
North East,E12000001,2006-09,5510,monthly,8.55,01/09/2006
South East,E12000008,2006-09,20639,monthly,6.8,01/09/2006
South West,E12000009,2006-09,12492,monthly,7.21,01/09/2006
West Midlands Region,E12000005,2006-09,10435,monthly,6.08,01/09/2006
London,E12000007,2006-10,15193,monthly,10.59,01/10/2006
North East,E12000001,2006-10,5216,monthly,8.34,01/10/2006
South East,E12000008,2006-10,19698,monthly,7.68,01/10/2006
South West,E12000009,2006-10,12448,monthly,8.3,01/10/2006
West Midlands Region,E12000005,2006-10,10289,monthly,6.04,01/10/2006
London,E12000007,2006-11,15230,monthly,9.41,01/11/2006
North East,E12000001,2006-11,5343,monthly,6.11,01/11/2006
South East,E12000008,2006-11,19570,monthly,7.94,01/11/2006
South West,E12000009,2006-11,12760,monthly,9.17,01/11/2006
West Midlands Region,E12000005,2006-11,10511,monthly,5.99,01/11/2006
London,E12000007,2006-12,15232,monthly,10.96,01/12/2006
North East,E12000001,2006-12,6047,monthly,8.89,01/12/2006
South East,E12000008,2006-12,20999,monthly,9.27,01/12/2006
South West,E12000009,2006-12,13258,monthly,9.23,01/12/2006
West Midlands Region,E12000005,2006-12,11472,monthly,6.3,01/12/2006
London,E12000007,2007-01,12794,monthly,11.6,01/01/2007
North East,E12000001,2007-01,3904,monthly,7.7,01/01/2007
South East,E12000008,2007-01,15462,monthly,9.59,01/01/2007
South West,E12000009,2007-01,9198,monthly,9.08,01/01/2007
West Midlands Region,E12000005,2007-01,7705,monthly,6.65,01/01/2007
London,E12000007,2007-02,12194,monthly,13.24,01/02/2007
North East,E12000001,2007-02,4014,monthly,8.3,01/02/2007
South East,E12000008,2007-02,14947,monthly,8.92,01/02/2007
South West,E12000009,2007-02,8926,monthly,10.32,01/02/2007
West Midlands Region,E12000005,2007-02,7614,monthly,6.08,01/02/2007
London,E12000007,2007-03,14546,monthly,13.3,01/03/2007
North East,E12000001,2007-03,5267,monthly,6.73,01/03/2007
South East,E12000008,2007-03,17562,monthly,9.3,01/03/2007
South West,E12000009,2007-03,10691,monthly,9.89,01/03/2007
